,FM_deepfd021_faulty
MM_deepfd021_original0_GF_0.01_1,0.5595 (reliable)
MM_deepfd021_original0_LD_0.01_1,0.5610 (reliable)
MM_deepfd021_original0_LR_0.01_1,0.4390 (reliable)
MM_deepfd021_original0_NAI_0.01_1,0.5604 (reliable)
MM_deepfd021_original0_NEB_0.01_1,0.5309 (reliable)
MM_deepfd021_original0_NS_0.01_1,0.5854 (reliable)
MM_deepfd021_original0_WS_0.01_1,0.6306 (reliable)
MM_deepfd021_original1_GF_0.01_1,0.7745 (reliable)
MM_deepfd021_original1_LA_0.01_1,0.6634 (unreliable)
MM_deepfd021_original1_LD_0.01_1,0.8085 (reliable)
MM_deepfd021_original1_LR_0.01_1,0.7288 (reliable)
MM_deepfd021_original1_NAI_0.01_1,0.6493 (reliable)
MM_deepfd021_original1_NEB_0.01_1,0.7755 (reliable)
MM_deepfd021_original1_NS_0.01_1,0.8085 (reliable)
MM_deepfd021_original1_WS_0.01_1,0.7053 (reliable)
MM_deepfd021_original2_GF_0.01_1,0.4179 (reliable)
MM_deepfd021_original2_LD_0.01_1,0.4035 (reliable)
MM_deepfd021_original2_LR_0.01_1,0.6522 (reliable)
MM_deepfd021_original2_NAI_0.01_1,0.6691 (reliable)
MM_deepfd021_original2_NEB_0.01_1,0.4706 (reliable)
MM_deepfd021_original2_NS_0.01_1,0.4179 (reliable)
MM_deepfd021_original2_WS_0.01_1,0.4355 (reliable)
MM_deepfd021_original3_GF_0.01_1,0.8108 (reliable)
MM_deepfd021_original3_LA_0.01_1,0.8037 (reliable)
MM_deepfd021_original3_LD_0.01_1,0.7921 (reliable)
MM_deepfd021_original3_LR_0.01_1,0.6036 (reliable)
MM_deepfd021_original3_NAI_0.01_1,0.7365 (reliable)
MM_deepfd021_original3_NEB_0.01_1,0.8000 (reliable)
MM_deepfd021_original3_NS_0.01_1,0.8018 (reliable)
MM_deepfd021_original3_WS_0.01_1,0.7981 (reliable)
MM_deepfd021_original4_GF_0.01_1,0.4016 (reliable)
MM_deepfd021_original4_LA_0.01_1,0.3902 (reliable)
MM_deepfd021_original4_LD_0.01_1,0.3917 (reliable)
MM_deepfd021_original4_LR_0.01_1,0.4083 (reliable)
MM_deepfd021_original4_NAI_0.01_1,0.3624 (reliable)
MM_deepfd021_original4_NEB_0.01_1,0.3917 (reliable)
MM_deepfd021_original4_NS_0.01_1,0.4094 (reliable)
MM_deepfd021_original4_WS_0.01_1,0.3871 (reliable)
